SAMSUNGACR.COM,0,0,
SALMONADS.COM,0,0,
SAHAMGOSTARAN.COM,1,0,
SAFEBROWSING.GOOGLE.COM,1,0,
SAFE.MEIZU.COM,2,0,
SADECEHOSTING.COM,0,0,
SAAS.SL,0,0,
SA,0,0,
S3-WEBSITE-US-WEST-1.AMAZONAWS.COM,1,0,
S3-WEBSITE-AP-SOUTHEAST-2.AMAZONAWS.COM,1,0,
S3-US-WEST-2.AMAZONAWS.COM,1,0,
S3-US-WEST-2-W.AMAZONAWS.COM,1,0,
S3-3-W.AMAZONAWS.COM,3,0,
S3-1.AMAZONAWS.COM,1,0,
S3-1-W.AMAZONAWS.COM,4,0,
S1001-HLQZ.4399SY.COM,1,0,
S1.SYMCB.COM,1,0,
S1.2MDN.NET,1,0,
S0.2MDN.NET,1,0,
S.YOUTUBE.COM,1,0,
S.TIAOU.COM,1,0,
S.C-CTRIP.COM,1,0,
RUN,0,0,
ROUTE.HEROKUAPP.COM,2,0,
ROESER-ONLINE.DE,0,0,
RO123.NET,0,0,
RO,0,0,
RNP.BR,0,0,
RISING.COM.CN,1,0,
RIPE.NET,0,0,
RIMA-TDE.NET,0,0,
RHSBL.AHBL.ORG,1,0,
RG-BD423B6311F13B10FED60D593ACE798C.PORT2408.NET,1,0,
RG-A9EFCA94CB74861F217E49751B6302D2.PORT2408.NET,1,0,
RG-673AE130A69890B25B1AB8084D322D33.PORT2408.NET,1,0,
REVANOW.COM,0,0,
RENREN.COM,0,0,
RELIEVAL.COM,0,0,
RELAY-PROD-EUWEST1-47.WD2GO.COM,1,0,
REGDNS4.EU,0,0,
REDHAT.COM,0,0,
REDBUSSECONDARYDNS.PRRLOGISTICS.COM,1,0,
READCUBE.COM,1,0,
RDNS2.ALIDNS.COM,1,0,
RADIOJAR-LIB.APPSPOT.COM,1,0,
R.SKYPE.NET,1,0,
QUOTE.RBC.RU,1,0,
QUERY.YAHOO.COM,1,0,
QQPUBLIC.QPIC.CN,2,0,
QNYDNS.COM,0,0,
QIUMIBAO.COM,0,0,
QINIU.QNYDNS.COM,1,0,
QINIU.COM,0,0,
QIKU.COM,0,0,
QD.ANJUKE.COM,1,0,
QCHANNEL01.CN,0,0,
QCBLZX.COM,0,0,
PY,1,0,
PXL.CONNEXITY.NET,1,0,
PX.MOATADS.COM,1,0,
PUSH.UMEYE.CN,1,0,
PUREGRAFFITI.COM,1,0,
PULMUONE.COM,0,0,
PUB.3GPPNETWORK.ORG,1,0,
PTVCDN.NET,0,0,
PRRLOGISTICS.COM,0,0,
PROXY.TWO.COM,1,0,
PROTHOST.COM,0,0,
PROJECTGOLD.RU,1,0,
PRODUCTION.GANNETTDIGITAL.COM,1,0,
PREPAREYOURUPLINK.SU,1,0,
PRD4.AZUREDNS-CLOUD.NET,1,0,
PRD3.AZUREDNS-CLOUD.NET,1,0,
PRD2.AZUREDNS-CLOUD.NET,1,0,
PRD1.AZUREDNS-CLOUD.NET,1,0,
POWIEKSZENIE-BIUSTU.TOP,1,0,
POSTLOG.CUI9.COM,2,0,
POST.RO,5,0,
PORTAL.FB.COM,1,0,
POP110.CN4E.COM,1,0,
POP.NIUX88.COM,1,0,
POP-AM.RNP.BR,1,0,
POLL.KEKE.CN,1,0,
POLICY.JD.COM,1,0,
POJ-IYD.COM,0,0,
PNS01.DCSIX.NET,1,0,
PMOA.CO.JP,1,0,
PLUMGUIDE-STAGING.IMGIX.NET,1,0,
PLAZA.CMGAME.COM,1,0,
PLAYSTATION.NET,0,0,
PLATFORM.SH,0,0,
PISHAN168.COM,0,0,
PINYIN.SOGOU.COM,1,0,
PINTEREST.COM,0,0,
PINGMA.QQ.COM,2,0,
PINGHOT.QQ.COM,1,0,
PING3.TEAMVIEWER.COM,1,0,
PIC.8686C.COM,1,0,
PHSEP1.SW-HEALTH.ORG,1,0,
PHOTO.CNTV.CN,1,0,
PHHHOTO-NODE.HEROKUAPP.COM,1,0,
PENSIOENNAVIGATOR.NL,1,0,
PEER1.NET,0,0,
PDNS196.ULTRADNS.ORG,3,0,
PDNS196.ULTRADNS.NET,1,0,
PDNS196.ULTRADNS.COM,2,0,
PDNS196.ULTRADNS.BIZ,3,0,
PCH.COM,1,0,
PAYMENT.HUAJIAO.COM,1,0,
PASSPORT2.AICHAOXING.COM,1,0,
PANDORA.TV,0,0,
PANDA.TV,0,0,
PALLADIUM.CSC.COM,2,0,
PALBENKO.WS,1,0,
PACRIMERECORDS.WS,1,0,
P46-CKDATABASE.ICLOUD.COM,1,0,
P14.DYNECT.NET,2,0,
P.YOUKU.COM,1,0,
OURWEBAT.COM,0,0,
OURGLB0.COM,0,0,
OURCLOUDSEC.COM,0,0,
OTS.UTEXAS.EDU,1,0,
OT-VC.EBOWER.COM,1,0,
OSS.MUCANG.CN,1,0,
ORIGIN.SINCLAIRSTORYLINE.COM,1,0,
ORIGIN-WEBMAIL.DELOITTE.COM,1,0,
ORIGIN-US-FASTSTREAM02.ECOMSTREAMING.COM,1,0,
ORIGIN-TESTGAME1.FUNIPOLL.COM,1,0,
